_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal
650c4cda39ed09d0c37d81e5,2023-09-21 14:02:02.002000,EK50,MUC,DXB,2023-09-21 13:40:00,2023-09-21 19:45:00
650cd98ad8f21ca9fdf7d19b,2023-09-22 00:02:18.209000,EK366,DXB,TPE,2023-09-21 23:40:00,2023-09-22 08:15:00
650ce78ea0084d6267786ffd,2023-09-22 01:02:06.319000,QR900,DOH,PER,2023-09-21 23:25:00,2023-09-22 10:20:00
650c4cda39ed09d0c37d81e6,2023-09-21 14:02:02.471000,EK46,FRA,DXB,2023-09-21 13:15:00,2023-09-21 19:35:00
650c932461ef37facca0c4b9,2023-09-21 19:01:56.272000,SQ231,SIN,SYD,2023-09-21 16:45:00,2023-09-22 00:25:00
650c3e218934f729db7d77b9,2023-09-21 19:59:13.579000,EK216,LAX,DXB,2023-09-20 23:40:00,2023-09-21 15:30:00
650cf599428c11d50b243a2c,2023-09-22 02:02:01.955000,QF11,SYD,LAX,2023-09-22 00:20:00,2023-09-22 14:05:00
650c3f788386173002aae8fc,2023-09-21 13:04:56.305000,EK51,DXB,MUC,2023-09-21 12:30:00,2023-09-21 18:50:00
650c68d66faec3fa0f5a08c7,2023-09-21 16:01:26.153000,QF1,SIN,LHR,2023-09-21 15:30:00,2023-09-22 05:35:00
650cd987d8f21ca9fdf7d195,2023-09-22 00:02:15.202000,EK569,BLR,DXB,2023-09-21 23:15:00,2023-09-22 03:05:00
650caf0925acc1436c31b58b,2023-09-21 21:00:57.547000,EK132,DME,DXB,2023-09-21 20:20:00,2023-09-22 01:30:00
650c932361ef37facca0c4b7,2023-09-21 19:01:55.331000,EK568,DXB,BLR,2023-09-21 17:15:00,2023-09-21 21:15:00
650c3f718386173002aae8ee,2023-09-21 13:04:49.299000,EK407,MEL,DXB,2023-09-21 11:15:00,2023-09-22 01:15:00
650caf0b25acc1436c31b58e,2023-09-21 21:00:59.456000,EK20,MAN,DXB,2023-09-21 20:15:00,2023-09-22 03:25:00
650c3f618386173002aae8cb,2023-09-21 13:04:33.995000,EK225,DXB,SFO,2023-09-21 05:10:00,2023-09-21 21:00:00
650c5ab41f1f721d775d60be,2023-09-21 15:01:08.054000,EK421,PER,DXB,2023-09-21 14:20:00,2023-09-22 01:20:00
650ccb5771d436878948ff3c,2023-09-21 23:01:43.385000,EK7,DXB,LHR,2023-09-21 22:30:00,2023-09-22 06:05:00
650c3f6e8386173002aae8e8,2023-09-21 13:04:46.653000,QR909,SYD,DOH,2023-09-21 11:00:00,2023-09-22 01:55:00
650c5ab11f1f721d775d60b8,2023-09-21 15:01:05.451000,EK134,DME,DXB,2023-09-21 13:55:00,2023-09-21 19:10:00
650c3f628386173002aae8cd,2023-09-21 13:04:34.696000,OZ202,ICN,LAX,2023-09-21 05:40:00,2023-09-21 16:50:00
650ca116c19ab1a2ade3a582,2023-09-21 20:01:26.540000,EK32,LHR,DXB,2023-09-21 18:50:00,2023-09-22 01:50:00
650ca10ec19ab1a2ade3a570,2023-09-21 20:01:18.264000,QR12,LHR,DOH,2023-09-21 18:45:00,2023-09-22 01:30:00
650c3f5e8386173002aae8c3,2023-09-21 13:04:30.366000,EK31,DXB,LHR,2023-09-21 07:25:00,2023-09-21 15:10:00
650c3f6c8386173002aae8e3,2023-09-21 13:04:44.259000,LH410,MUC,JFK,2023-09-21 10:10:00,2023-09-21 19:00:00
650c3f6b8386173002aae8e0,2023-09-21 13:04:43.086000,EK72,CDG,DXB,2023-09-21 09:25:00,2023-09-21 16:00:00
650c3f688386173002aae8db,2023-09-21 13:04:40.889000,SQ833,PVG,SIN,2023-09-21 08:50:00,2023-09-21 14:20:00
650c3f748386173002aae8f5,2023-09-21 13:04:52.909000,EK803,DXB,JED,2023-09-21 11:40:00,2023-09-21 15:00:00
650c3f6d8386173002aae8e7,2023-09-21 13:04:45.712000,BA207,LHR,MIA,2023-09-21 09:25:00,2023-09-21 18:45:00
650c4cd739ed09d0c37d81df,2023-09-21 14:01:59.328000,EK18,MAN,DXB,2023-09-21 13:05:00,2023-09-21 20:20:00
650c68d46faec3fa0f5a08c4,2023-09-21 16:01:24.170000,EK204,JFK,DXB,2023-09-21 15:20:00,2023-09-22 03:50:00
650c3f648386173002aae8d1,2023-09-21 13:04:36.356000,EK763,DXB,JNB,2023-09-21 05:55:00,2023-09-21 14:15:00
650ccb5671d436878948ff3b,2023-09-21 23:01:42.906000,EK701,DXB,MRU,2023-09-21 22:35:00,2023-09-22 05:10:00
650cf598428c11d50b243a28,2023-09-22 02:02:00.039000,SQ232,SYD,SIN,2023-09-22 01:00:00,2023-09-22 09:30:00
650c68ce6faec3fa0f5a08b8,2023-09-21 16:01:18.702000,EK904,AMM,DXB,2023-09-21 15:00:00,2023-09-21 18:00:00
650c76f754b119fc1dc35766,2023-09-21 17:01:43.092000,EK303,PVG,DXB,2023-09-21 16:05:00,2023-09-22 00:55:00
650c76f854b119fc1dc35769,2023-09-21 17:01:44.263000,BA293,LHR,IAD,2023-09-21 16:15:00,2023-09-22 00:25:00
650c5ab51f1f721d775d60c0,2023-09-21 15:01:09.021000,EK752,CMN,DXB,2023-09-21 13:45:00,2023-09-21 21:15:00
650c76f754b119fc1dc35767,2023-09-21 17:01:43.322000,SQ403,DEL,SIN,2023-09-21 16:25:00,2023-09-21 22:10:00
650ccb5371d436878948ff34,2023-09-21 23:01:39.297000,EY11,AUH,LHR,2023-09-21 22:05:00,2023-09-22 05:45:00
650ccb5471d436878948ff37,2023-09-21 23:01:40.456000,EK231,DXB,IAD,2023-09-21 22:20:00,2023-09-22 12:40:00
650ccb5571d436878948ff39,2023-09-21 23:01:41.478000,EK408,DXB,MEL,2023-09-21 22:20:00,2023-09-22 11:30:00
650cd988d8f21ca9fdf7d197,2023-09-22 00:02:16.146000,EK346,DXB,KUL,2023-09-21 23:10:00,2023-09-22 06:25:00
650c3f6c8386173002aae8e4,2023-09-21 13:04:44.527000,EK3,DXB,LHR,2023-09-21 10:15:00,2023-09-21 17:40:00
650ce78da0084d6267786ff9,2023-09-22 01:02:05.006000,EK71,DXB,CDG,2023-09-22 00:05:00,2023-09-22 07:25:00
650cbd4c22881c84b3787108,2023-09-21 22:01:48.303000,BA106,DXB,LHR,2023-09-21 21:05:00,2023-09-22 04:55:00
650c932461ef37facca0c4ba,2023-09-21 19:01:56.757000,QR908,DOH,SYD,2023-09-21 17:00:00,2023-09-22 07:10:00
650c76f654b119fc1dc35765,2023-09-21 17:01:42.896000,EK363,CAN,DXB,2023-09-21 16:15:00,2023-09-22 00:05:00
